latitude,longitude,prix,surface,pieces,type_bien,code_postal,departement,ville
47.4631294,-0.5408982,212000,91.0,4.0,Appartement,49000,49,Angers
47.4943373,-0.5508614,210114,33.9,2.0,Appartement,49100,49,Angers
47.4943373,-0.5508614,186292,43.9,2.0,Appartement,49100,49,Angers
47.4631294,-0.5408982,184000,34.9,2.0,Appartement,49000,49,Angers
47.4631294,-0.5408982,181108,43.9,2.0,Appartement,49000,49,Angers
47.4631294,-0.5408982,169000,30.7,1.0,Appartement,49000,49,Angers
47.4631294,-0.5408982,163000,30.0,1.0,Appartement,49000,49,Angers
47.4943373,-0.5508614,158000,31.0,1.0,Appartement,49100,49,Angers
47.4943373,-0.5508614,130712,22.1,1.0,Appartement,49100,49,Angers
49.2534078,4.0482781,990000,162.8,5.0,Appartement,51100,51,Reims
49.2534078,4.0482781,520000,110.0,3.0,Appartement,51100,51,Reims
49.2534078,4.0482781,500000,109.0,4.0,Appartement,51100,51,Reims
49.2534078,4.0482781,440000,121.6,5.0,Appartement,51100,51,Reims
49.2534078,4.0482781,369900,83.5,4.0,Appartement,51100,51,Reims
49.2534078,4.0482781,350000,67.6,3.0,Appartement,51100,51,Reims
49.2534078,4.0482781,349000,99.0,3.0,Appartement,51100,51,Reims
49.2534078,4.0482781,348000,80.6,4.0,Appartement,51100,51,Reims
49.2534078,4.0482781,322000,56.1,2.0,Appartement,51100,51,Reims
49.2534078,4.0482781,312000,79.0,4.0,Appartement,51100,51,Reims
49.2534078,4.0482781,259900,66.0,3.0,Appartement,51100,51,Reims
49.2534078,4.0482781,254000,66.6,3.0,Appartement,51100,51,Reims
49.2534078,4.0482781,250000,49.7,2.0,Appartement,51100,51,Reims
49.2534078,4.0482781,245000,49.7,2.0,Appartement,51100,51,Reims
49.2534078,4.0482781,244500,102.0,5.0,Appartement,51100,51,Reims
49.2534078,4.0482781,235400,86.3,4.0,Appartement,51100,51,Reims
49.2534078,4.0482781,220000,60.1,3.0,Appartement,51100,51,Reims
49.2534078,4.0482781,192000,44.0,2.0,Appartement,51100,51,Reims
49.2534078,4.0482781,176000,41.5,2.0,Appartement,51100,51,Reims
49.2534078,4.0482781,174900,39.0,2.0,Appartement,51100,51,Reims
49.2534078,4.0482781,172000,57.0,2.0,Appartement,51100,51,Reims
49.2534078,4.0482781,158400,40.0,2.0,Appartement,51100,51,Reims
49.2534078,4.0482781,149900,26.7,1.0,Appartement,51100,51,Reims
49.2534078,4.0482781,145000,24.3,1.0,Appartement,51100,51,Reims
49.2534078,4.0482781,102600,27.4,1.0,Appartement,51100,51,Reims
45.772236,3.1107082,329000,133.0,6.0,Appartement,63000,63,Clermont-Ferrand
45.772236,3.1107082,319000,88.5,4.0,Maison,63000,63,Clermont-Ferrand
45.772236,3.1107082,285000,82.1,4.0,Appartement,63000,63,Clermont-Ferrand
45.772236,3.1107082,269000,83.4,4.0,Appartement,63000,63,Clermont-Ferrand
45.772236,3.1107082,259000,65.7,3.0,Maison,63000,63,Clermont-Ferrand
45.772236,3.1107082,232000,56.5,3.0,Appartement,63000,63,Clermont-Ferrand
45.772236,3.1107082,219000,76.0,3.0,Appartement,63000,63,Clermont-Ferrand
45.772236,3.1107082,219000,60.6,3.0,Appartement,63000,63,Clermont-Ferrand
45.772236,3.1107082,215000,61.7,3.0,Appartement,63000,63,Clermont-Ferrand
45.772236,3.1107082,180000,44.6,2.0,Appartement,63000,63,Clermont-Ferrand
45.795098,3.1107156,175000,61.0,3.0,Appartement,63100,63,Clermont-Ferrand
45.772236,3.1107082,169300,41.0,2.0,Appartement,63000,63,Clermont-Ferrand
45.772236,3.1107082,159000,42.5,2.0,Appartement,63000,63,Clermont-Ferrand
45.772236,3.1107082,152250,53.0,2.0,Appartement,63000,63,Clermont-Ferrand
45.772236,3.1107082,133600,22.0,1.0,Appartement,63000,63,Clermont-Ferrand
45.772236,3.1107082,126500,74.0,4.0,Appartement,63000,63,Clermont-Ferrand
45.772236,3.1107082,119000,29.3,1.0,Appartement,63000,63,Clermont-Ferrand
48.5947274,7.7742476,989998,250.5,10.0,Appartement,67000,67,Strasbourg
